set,mean_x0,err_x0,mean_sigma,err_sigma
2550,2476.6255276259103,0.04274058564188269,19.90881981980692,0.04600500085164973
2575,2499.007095810085,0.05484527434500355,21.743627601597012,0.05438427043845222
2600,2521.2455685350965,0.06538948526176408,30.699344264609888,0.06785707619861486
2625,2539.907165137251,0.05927353549370666,30.39593382315142,0.0583005418576238
2650,2556.623069607173,0.07568459892775876,32.81273829323534,0.07562168479065114
2675,2577.361480898318,0.09153260437317572,36.08295751948996,0.09472203768101009
2700,2603.2658452822197,0.111223735962084,38.45862593982534,0.11726202227744197
2725,2630.763013996368,0.0865947149830761,28.854308524708898,0.08983995009596962
2750,2648.598376762567,0.08644640485268593,29.795541597741966,0.08998663321555334
2775,2674.3940401346276,0.11990897531242314,38.979647725562074,0.12716906348017798
2800,2702.0179996940456,0.12105811000041027,35.996945820278555,0.12798831150196446
2825,2730.168292854173,0.11988779199431357,36.016776158481775,0.12712882021430136
2850,2762.5504573058633,0.10461921674321639,38.55064871012426,0.11195687633671954
2875,2798.023966478156,0.08556334244762605,37.344090675261256,0.09161769983422018
2900,2828.904089155723,0.0686761957157835,37.746288574857495,0.0739400851159647
